epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3734.3,1.18803,1.05329,1.04347,0.96581,0.96544,0.98885,0.77208,0.86571,0.77252,0.90876,5.96217e-05,5.96217e-05,5.96217e-05
2,6677.02,1.18493,0.96146,1.04856,0.97593,0.97651,0.99235,0.76286,0.89769,0.70059,0.90879,0.000107479,0.000107479,0.000107479
3,9591.41,1.17926,0.86295,1.0542,0.98403,0.98595,0.99358,0.76767,0.88272,0.62509,0.90797,0.000143522,0.000143522,0.000143522
4,12582.6,1.17103,0.77784,1.0589,0.9835,0.98774,0.99355,0.79065,0.81507,0.56469,0.90323,0.000125837,0.000125837,0.000125837
5,15534,1.15947,0.71045,1.0577,0.99352,0.99308,0.99457,0.7874,0.83741,0.51925,0.9035,0.000108116,0.000108116,0.000108116
6,18498.5,1.15228,0.66351,1.06102,0.99519,0.99436,0.99467,0.79998,0.78928,0.49078,0.89195,9.0395e-05,9.0395e-05,9.0395e-05
7,21427.2,1.14174,0.6287,1.05796,0.99472,0.99707,0.99486,0.78399,0.85198,0.475,0.90233,7.2674e-05,7.2674e-05,7.2674e-05
8,24381.7,1.13665,0.60146,1.05642,0.99635,0.99672,0.99479,0.80299,0.79809,0.45139,0.89069,5.4953e-05,5.4953e-05,5.4953e-05
9,27334.3,1.1291,0.58125,1.05275,0.99635,0.99733,0.99479,0.80983,0.77324,0.44017,0.88406,3.7232e-05,3.7232e-05,3.7232e-05
10,30198.2,1.12173,0.5619,1.05031,0.99691,0.99808,0.99483,0.8101,0.77563,0.43133,0.88189,1.9511e-05,1.9511e-05,1.9511e-05
